,size,density,time
585,70,0.3,0.000244140625
586,70,0.3,0.0002551078796386719
587,70,0.3,0.00024390220642089844
588,70,0.3,0.0002460479736328125
589,70,0.3,0.0002448558807373047
590,70,0.5,0.0003020763397216797
591,70,0.5,0.0003180503845214844
592,70,0.5,0.0003027915954589844
593,70,0.5,0.000308990478515625
594,70,0.5,0.00030422210693359375
595,70,0.5,0.0003039836883544922
596,70,0.5,0.00030493736267089844
597,70,0.5,0.0003020763397216797
598,70,0.5,0.0003039836883544922
599,70,0.5,0.0003077983856201172
600,70,0.5,0.00029969215393066406
601,70,0.5,0.00030493736267089844
602,70,0.5,0.00031375885009765625
603,70,0.5,0.00030612945556640625
604,70,0.5,0.0003178119659423828
605,70,0.5,0.0003170967102050781
606,70,0.5,0.00030493736267089844
607,70,0.5,0.0003070831298828125
608,70,0.5,0.0003039836883544922
609,70,0.5,0.00030112266540527344
610,70,0.7,0.0003590583801269531
611,70,0.7,0.00037384033203125
612,70,0.7,0.00036716461181640625
613,70,0.7,0.0003561973571777344
614,70,0.7,0.0003566741943359375
615,70,0.7,0.00037598609924316406
616,70,0.7,0.00039196014404296875
617,70,0.7,0.00035309791564941406
618,70,0.7,0.00036597251892089844
619,70,0.7,0.0003540515899658203
620,70,0.7,0.0003612041473388672
621,70,0.7,0.00036597251892089844
622,70,0.7,0.00035834312438964844
623,70,0.7,0.00034999847412109375
624,70,0.7,0.00035881996154785156
625,70,0.7,0.0003561973571777344
626,70,0.7,0.0003581047058105469
627,70,0.7,0.00034880638122558594
628,70,0.7,0.0003619194030761719
629,70,0.7,0.0003459453582763672
630,70,0.9,0.0003979206085205078
631,70,0.9,0.00039076805114746094
632,70,0.9,0.0004000663757324219
633,70,0.9,0.00039386749267578125
634,70,0.9,0.0003960132598876953
635,70,0.9,0.0003941059112548828
636,70,0.9,0.0004017353057861328
637,70,0.9,0.00039696693420410156
638,70,0.9,0.0004055500030517578
639,70,0.9,0.000392913818359375
640,70,0.9,0.0003979206085205078
641,70,0.9,0.0003948211669921875
642,70,0.9,0.00039887428283691406
643,70,0.9,0.00039196014404296875
644,70,0.9,0.0003991127014160156
645,70,0.9,0.0003960132598876953
646,70,0.9,0.0003991127014160156
647,70,0.9,0.0004010200500488281
648,70,0.9,0.000392913818359375
649,70,0.9,0.0003910064697265625
650,80,0.1,0.00024580955505371094
651,80,0.1,0.0002548694610595703
652,80,0.1,0.0002429485321044922
653,80,0.1,0.0002372264862060547
654,80,0.1,0.000247955322265625
655,80,0.1,0.0002472400665283203
656,80,0.1,0.0002460479736328125
657,80,0.1,0.0002410411834716797
658,80,0.1,0.00025081634521484375
659,80,0.1,0.00024080276489257812
660,80,0.1,0.0002429485321044922
661,80,0.1,0.00025391578674316406
662,80,0.1,0.000247955322265625
663,80,0.1,0.00024771690368652344
664,80,0.1,0.00023889541625976562
665,80,0.1,0.0002522468566894531
666,80,0.1,0.0002448558807373047
667,80,0.1,0.00024008750915527344
668,80,0.1,0.00023794174194335938
669,80,0.1,0.00024580955505371094
670,80,0.3,0.00031304359436035156
671,80,0.3,0.0003173351287841797
672,80,0.3,0.00031280517578125
673,80,0.3,0.00032520294189453125
674,80,0.3,0.0003101825714111328
675,80,0.3,0.00031685829162597656
676,80,0.3,0.0003199577331542969
677,80,0.3,0.00032210350036621094
678,80,0.3,0.00031280517578125
679,80,0.3,0.0003199577331542969
680,80,0.3,0.00031495094299316406
681,80,0.3,0.00033092498779296875
682,80,0.3,0.0003139972686767578
683,80,0.3,0.0003180503845214844
684,80,0.3,0.0003173351287841797
685,80,0.3,0.00031280517578125
686,80,0.3,0.0003209114074707031
687,80,0.3,0.000324249267578125
688,80,0.3,0.0003190040588378906
689,80,0.3,0.0003237724304199219
690,80,0.5,0.0004031658172607422
691,80,0.5,0.00039887428283691406
692,80,0.5,0.00039196014404296875
693,80,0.5,0.00038909912109375
694,80,0.5,0.00040078163146972656
695,80,0.5,0.00039124488830566406
696,80,0.5,0.0003898143768310547
697,80,0.5,0.00038504600524902344
698,80,0.5,0.0003859996795654297
699,80,0.5,0.00039196014404296875
700,80,0.5,0.0003910064697265625
701,80,0.5,0.00038504600524902344
702,80,0.5,0.00039696693420410156
703,80,0.5,0.000392913818359375
704,80,0.5,0.0003902912139892578
705,80,0.5,0.0003910064697265625
706,80,0.5,0.00038504600524902344
707,80,0.5,0.00038909912109375
708,80,0.5,0.00039505958557128906
709,80,0.5,0.0003871917724609375
710,80,0.7,0.0004527568817138672
711,80,0.7,0.0004630088806152344
712,80,0.7,0.00045418739318847656
713,80,0.7,0.0004558563232421875
714,80,0.7,0.00045609474182128906
715,80,0.7,0.00045609474182128906
716,80,0.7,0.0004589557647705078
717,80,0.7,0.0004620552062988281
718,80,0.7,0.00044989585876464844
719,80,0.7,0.0004680156707763672
720,80,0.7,0.00045490264892578125
721,80,0.7,0.00045180320739746094
722,80,0.7,0.0004649162292480469
723,80,0.7,0.0004558563232421875
724,80,0.7,0.0004601478576660156
725,80,0.7,0.0004527568817138672
726,80,0.7,0.0004596710205078125
727,80,0.7,0.0004570484161376953
728,80,0.7,0.0004611015319824219
729,80,0.7,0.0004527568817138672
730,80,0.9,0.0005168914794921875
731,80,0.9,0.0005190372467041016
732,80,0.9,0.0005068778991699219
733,80,0.9,0.0005140304565429688
734,80,0.9,0.0005021095275878906
735,80,0.9,0.0005130767822265625
736,80,0.9,0.0005021095275878906
737,80,0.9,0.0005109310150146484
738,80,0.9,0.0005352497100830078
739,80,0.9,0.0005071163177490234
740,80,0.9,0.0005099773406982422
741,80,0.9,0.0005180835723876953
742,80,0.9,0.0005102157592773438
743,80,0.9,0.0005102157592773438
744,80,0.9,0.0005056858062744141
745,80,0.9,0.0005300045013427734
746,80,0.9,0.0005171298980712891
747,80,0.9,0.0005030632019042969
748,80,0.9,0.0005109310150146484
749,80,0.9,0.0005040168762207031
750,90,0.1,0.000308990478515625
751,90,0.1,0.0003001689910888672
752,90,0.1,0.0003077983856201172
753,90,0.1,0.00030112266540527344
754,90,0.1,0.0003218650817871094
755,90,0.1,0.0003018379211425781
756,90,0.1,0.0003070831298828125
757,90,0.1,0.0003540515899658203
758,90,0.1,0.00030517578125
759,90,0.1,0.0002968311309814453
760,90,0.1,0.0003077983856201172
761,90,0.1,0.0003108978271484375
